id,customer_name,email,phone,address,license_type,gbp,bbp
0371188556,Nï¿½ri,afgva@ggew.com,9549564,cewafdwea 10,1,0,1
0371188555,Nï¿½ri2,afgva@ggew.com,9549564,cewafdwea 10,"A,C",0,0
12,Nori2,afgva@ggew.com,9549564,cewafdwea 10,"A,C",0,0
69,Gunnsi Koko,Amma@þín.gov,5812345,Smalalandia 2,D,0,0
f,1,1,1,1,1,0,0
1,1,1,1,1,f,0,0
f,f,f,f,f,f,0,0
f,12,12,12,12,12,0,0
f,12,12,12,12,12,0,0
f,12,12,12,12,12,0,0
f,12,12,12,12,12,0,0
f,12,12,12,12,12,0,0
f,12,12,12,12,12,0,0
f,1,1,1,1,1,0,0
f,1,1,1,1,1,0,0
d,f,1,1,1,1,0,0
f,f,f,f,f,f,0,0
