id,employee_name,ssn,address,phone,email,location,password
1,Chuck Norris,1004402509,Svarthofda 1 110,6969420,chuck@chucknorris.is,1,1
2,Sigmundur David,2459731587,stufgata 5 105,6498726,simmicool@chucknorris.is,2,2
3,Gudrun Aradottir,Brottubrekku 2a 104,3104843348,gurra@nan.is,3,3,3
4,Spoi Eskimoi,2156161,igloo 144,615845,spoi@chucknorris.is,3,4
5,Riti Inuiti,2146565,igloo 512,5255855,riti@chucknorris.is,4,5
6,Duddi Jorgensen,adalgata 21,5547858,duddi@chucknorris.is,5,6,
7,Sean Connerey,cabin 5,412566,sean@chucknorris.is,6,7,
8,Jorgen florgen,main road 5,556825,jorgen@chucknorris.is,7,8,
9,empty,empty,empty,empty,empty,empty,empty
10,arnar,23,23,23,23,23,23
11,arnar,23,23,23,23,23,23
12,arnar,23,23,23,23,23,23
13,arnar,23,23,23,23,23,23
9,245,24,2,42,24,424,24
10,2,424,24,244,4,2,4
11,2,42,2,2,2,2,2
12,2,2,2,2,2,2,2
13,2,2,2,2,2,2,2
14,,2,2,2,2,2,2
15,2,2,2,2,2,2,2
